date,region,tier,risk,confidence,methods,agreement
2026-01-11,ridgecrest,1,0.3167,0.80,3,all_normal
2026-01-11,socal_saf_mojave,0,0.1437,0.80,3,all_normal
2026-01-11,socal_saf_coachella,0,0.1357,0.80,2,all_normal
2026-01-11,norcal_hayward,1,0.2724,0.80,2,all_normal
2026-01-11,cascadia,0,0.2179,0.80,3,all_normal
2026-01-11,tokyo_kanto,0,0.0483,0.80,2,all_normal
2026-01-11,istanbul_marmara,0,0.0477,0.80,3,all_normal
2026-01-11,turkey_kahramanmaras,0,0.0935,0.80,2,all_normal
2026-01-11,campi_flegrei,0,0.0858,0.80,2,all_normal
